OrderID,ProductID,Quantity,UnitPrice,Discount,NetAmount,CategoryID,ProductName,CategoryName
10248,11,12,$14.00 ,0,168,4,Queso Cabrales,Dairy Products
10248,72,5,$34.80 ,0,174,4,Mozzarella di Giovanni,Dairy Products
10248,42,10,$9.80 ,0,98,5,Singaporean Hokkien Fried Mee,Grains/Cereals
10249,14,9,$18.60 ,0,167.3999939,7,Tofu,Produce
10249,51,40,$42.40 ,0,1696,7,Manjimup Dried Apples,Produce
10250,65,15,$16.80 ,0.150000006,214.2000122,2,Louisiana Fiery Hot Pepper Sauce,Condiments
10250,51,35,$42.40 ,0.150000006,1261.400024,7,Manjimup Dried Apples,Produce
10250,41,10,$7.70 ,0,77,8,Jack's New England Clam Chowder,Seafood
10251,65,20,$16.80 ,0,336,2,Louisiana Fiery Hot Pepper Sauce,Condiments
10251,22,6,$16.80 ,0.050000001,95.76000214,5,Gustaf's Knäckebröd,Grains/Cereals
10251,57,15,$15.60 ,0.050000001,222.3000031,5,Ravioli Angelo,Grains/Cereals
10252,20,40,$64.80 ,0.050000001,2462.399902,3,Sir Rodney's Marmalade,Confections
10252,33,25,$2.00 ,0.050000001,47.5,4,Geitost,Dairy Products
10252,60,40,$27.20 ,0,1088,4,Camembert Pierrot,Dairy Products
10253,39,42,$14.40 ,0,604.7999878,1,Chartreuse verte,Beverages
10253,49,40,$16.00 ,0,640,3,Maxilaku,Confections
10253,31,20,$10.00 ,0,200,4,Gorgonzola Telino,Dairy Products
10254,24,15,$3.60 ,0.150000006,45.90000153,1,Guaraná Fantástica,Beverages
10254,55,21,$19.20 ,0.150000006,342.7200317,6,Pâté chinois,Meat/Poultry
10254,74,21,$8.00 ,0,168,7,Longlife Tofu,Produce
10255,2,20,$15.20 ,0,304,1,Chang,Beverages
10255,16,35,$13.90 ,0,486.5,3,Pavlova,Confections
10255,59,30,$44.00 ,0,1320,4,Raclette Courdavault,Dairy Products
10255,36,25,$15.20 ,0,380,8,Inlagd Sill,Seafood
10256,77,12,$10.40 ,0,124.8000031,2,Original Frankfurter grüne Soße,Condiments
10256,53,15,$26.20 ,0,393,6,Perth Pasties,Meat/Poultry
10257,39,6,$14.40 ,0,86.40000153,1,Chartreuse verte,Beverages
10257,77,15,$10.40 ,0,156,2,Original Frankfurter grüne Soße,Condiments
10257,27,25,$35.10 ,0,877.5,3,Schoggi Schokolade,Confections
10258,2,50,$15.20 ,0.200000003,608,1,Chang,Beverages
10258,5,65,$17.00 ,0.200000003,884,2,Chef Anton's Gumbo Mix,Condiments
10258,32,6,$25.60 ,0.200000003,122.8800049,4,Mascarpone Fabioli,Dairy Products
10259,21,10,$8.00 ,0,80,3,Sir Rodney's Scones,Confections
10259,37,1,$20.80 ,0,20.79999924,8,Gravad lax,Seafood
10260,70,21,$12.00 ,0.25,189,1,Outback Lager,Beverages
10260,62,15,$39.40 ,0.25,443.25,3,Tarte au sucre,Confections
10260,57,50,$15.60 ,0,780,5,Ravioli Angelo,Grains/Cereals
10260,41,16,$7.70 ,0.25,92.3999939,8,Jack's New England Clam Chowder,Seafood
10261,35,20,$14.40 ,0,288,1,Steeleye Stout,Beverages
10261,21,20,$8.00 ,0,160,3,Sir Rodney's Scones,Confections
10262,5,12,$17.00 ,0.200000003,163.1999969,2,Chef Anton's Gumbo Mix,Condiments
10262,56,2,$30.40 ,0,60.79999924,5,Gnocchi di nonna Alice,Grains/Cereals
10262,7,15,$24.00 ,0,360,7,Uncle Bob's Organic Dried Pears,Produce
